player_en,player_cn,team_cn,matches_played,positions_seen,jerseys_seen,birth_date,age,source
Rubén Vargas,,瑞士,3,AM-L,,,,FBref+ESPN
Silvan Widmer,,瑞士,3,"DF,MF,RB,SUB",3,,,FBref+ESPN
Yvon Mvogo,,瑞士,3,SUB,,,,FBref+ESPN
Zeki Amdouni,,瑞士,3,"FW,MF,SUB",23,,,FBref+ESPN
Alban Lafont,,科特迪瓦,3,SUB,,,,FBref+ESPN
Amad Diallo,,科特迪瓦,3,"AM-R,FW,FW,MF,RW",15,,,FBref+ESPN
Ange-Yoan Bonny,,科特迪瓦,3,"F,FW",9,,,FBref+ESPN
Bazoumana Touré,,科特迪瓦,3,"LW,MF,SUB",24,,,FBref+ESPN
Christ Inao Oulaï,,科特迪瓦,3,"CM,MF,SUB",26,,,FBref+ESPN
Christopher Operi,,科特迪瓦,3,LB,,,,FBref+ESPN
Christopher Opéri,,科特迪瓦,1,LB,13,,,FBref+ESPN
Elye Wahi,,科特迪瓦,3,"FW,SUB",12,,,FBref+ESPN
Emmanuel Agbadou,,科特迪瓦,3,"CB,SUB",20,,,FBref+ESPN
Evan Ndicka,,科特迪瓦,3,SUB,,,,FBref+ESPN
Evann Guessand,,科特迪瓦,3,"FW,MF,SUB",22,,,FBref+ESPN
Franck Kessié,,科特迪瓦,3,"CM,LM",8,,,FBref+ESPN
Ghislain Konan,,科特迪瓦,3,"LB,SUB",3,,,FBref+ESPN
Guela Doué,,科特迪瓦,3,RB,,,,FBref+ESPN
Guéla Doué,,科特迪瓦,3,"DF,RB",17,,,FBref+ESPN
Ibrahim Sangaré,,科特迪瓦,3,"CM,DM,MF,RM",18,,,FBref+ESPN
Jean Michaël Seri,,科特迪瓦,3,SUB,,,,FBref+ESPN
Jean Seri,,科特迪瓦,1,MF,4,,,FBref+ESPN
Mohamed Koné,,科特迪瓦,3,SUB,,,,FBref+ESPN
Nicolas Pépé,,科特迪瓦,3,"AM,FW,FW,MF",19,,,FBref+ESPN
Odilon Kossounou,,科特迪瓦,3,"CB,CD-R,DF",7,,,FBref+ESPN
Oumar Diakité,,科特迪瓦,3,"FW,SUB",14,,,FBref+ESPN
Ousmane Diomande,,科特迪瓦,3,"CB,CD-L",2,,,FBref+ESPN
Parfait Guiagon,,科特迪瓦,3,SUB,,,,FBref+ESPN
Seko Fofana,,科特迪瓦,3,"CM,MF,SUB",6,,,FBref+ESPN
Simon Adingra,,科特迪瓦,3,"FW,MF,SUB",10,,,FBref+ESPN
Wilfried Singo,,科特迪瓦,3,"CB,RB,SUB",5,,,FBref+ESPN
Yahia Fofana,,科特迪瓦,3,"G,GK",1,,,FBref+ESPN
Yan Diomande,,科特迪瓦,3,AM-L,,,,FBref+ESPN
Yan Diomandé,,科特迪瓦,3,"FW,LW,RW",11,,,FBref+ESPN
Adem Arous,,突尼斯,2,SUB,,,,FBref+ESPN
Ali Abdi,,突尼斯,5,LB,2,,,FBref+ESPN
Anis Ben Slimane,,突尼斯,3,"CM,FW,RM",25,,,FBref+ESPN
Anis Slimane,,突尼斯,3,RM,,,,FBref+ESPN
Aymen Dahmen,,突尼斯,4,"G,GK",16,,,FBref+ESPN
Dylan Bronn,,突尼斯,4,"CB,SUB",6,,,FBref+ESPN
Elias Achouri,,突尼斯,5,"FW,MF,SUB",7,,,FBref+ESPN
Elias Saad,,突尼斯,5,"FW,RM,SUB",8,,,FBref+ESPN
Ellyes Skhiri,,突尼斯,5,"CB,CD,CM",17,,,FBref+ESPN
Firas Chaouat,,突尼斯,5,"FW,SUB",19,,,FBref+ESPN
Hadj Mahmoud,,突尼斯,2,MF,15,,,FBref+ESPN
Hannibal Mejbri,,突尼斯,5,"CM,LM",10,,,FBref+ESPN
Hazem Mastouri,,突尼斯,3,"F,FW",9,,,FBref+ESPN
Ismaël Gharbi,,突尼斯,5,"CM,CM-R,MF",11,,,FBref+ESPN
Khalil Ayari,,突尼斯,3,SUB,,,,FBref+ESPN
Mohamed Amine Ben Hamida,,突尼斯,5,"CB,CD-L,DF",21,,,FBref+ESPN
Mohamed Hadj Mahmoud,,突尼斯,3,SUB,,,,FBref+ESPN
Montassar Talbi,,突尼斯,5,"CB,CD-R",3,,,FBref+ESPN
Mortadha Ben Ouanes,,突尼斯,3,"DF,MF,SUB",12,,,FBref+ESPN
Mouhib Chamakh,,突尼斯,4,"GK,SUB",1,,,FBref+ESPN
Moutaz Neffati,,突尼斯,2,SUB,,,,FBref+ESPN
Omar Rekik,,突尼斯,5,"CB,SUB",4,,,FBref+ESPN
Raed Chikhaoui,,突尼斯,3,SUB,,,,FBref+ESPN
Rani Khedira,,突尼斯,5,"CM,CM-L,DF,MF",13,,,FBref+ESPN
Rayan Elloumi,,突尼斯,3,SUB,,,,FBref+ESPN
Sabri Ben Hessen,,突尼斯,3,SUB,,,,FBref+ESPN
Sebastian Tounekti,,突尼斯,5,"FW,FW,MF,SUB",26,,,FBref+ESPN
Yan Valery,,突尼斯,5,RB,20,,,FBref+ESPN
Abdallah Al-Fakhouri,,约旦,2,SUB,,,,FBref+ESPN
Abdallah Nasib,,约旦,4,"CB,CD-R",3,,,FBref+ESPN
Ali Azaizeh,,约旦,4,"MF,SUB",24,,,FBref+ESPN
Ali Olwan,,约旦,4,"CF-R,LM,RM",9,,,FBref+ESPN
Amer Jamous,,约旦,2,SUB,,,,FBref+ESPN
Anas Badawi,,约旦,2,SUB,,,,FBref+ESPN
Ehsan Haddad,,约旦,2,RM,,,,FBref+ESPN
Husam Abu Dahab,,约旦,3,"CB,CD-L",4,,,FBref+ESPN
Ibrahim Sadeh,,约旦,2,SUB,,,,FBref+ESPN
Ihsan Haddad,,约旦,2,RB,23,,,FBref+ESPN
Mahmoud Al-Mardi,,约旦,4,"CF-L,FW,MF,LM",13,,,FBref+ESPN
Mo Abualnadi,,约旦,1,CB,16,,,FBref+ESPN
Mohammad Abu Hasheesh,,约旦,3,"DF,SUB",2,,,FBref+ESPN
Mohammad Abualnadi,,约旦,2,SUB,,,,FBref+ESPN
Mohammad Abughoush,,约旦,2,SUB,,,,FBref+ESPN
Mohammad Al-Daoud,,约旦,2,SUB,,,,FBref+ESPN
Mohammad Al-Dawud,,约旦,1,"FW,MF",25,,,FBref+ESPN
Mohammed Abu Zraiq,,约旦,2,SUB,,,,FBref+ESPN
Mohannad Abu Taha,,约旦,4,"LB,LM",20,,,FBref+ESPN
Mousa Al-Tamari,,约旦,2,F,,,,FBref+ESPN
Musa Al-Taamari,,约旦,2,FW,10,,,FBref+ESPN
Nizar Al Rashdan,,约旦,2,CM,21,,,FBref+ESPN
Nizar Al-Rashdan,,约旦,2,CM-R,,,,FBref+ESPN
Noor Al Rawabdeh,,约旦,2,CM,8,,,FBref+ESPN
Noor Al-Rawabdeh,,约旦,2,CM-L,,,,FBref+ESPN
Nour Bani Ateyah,,约旦,2,SUB,,,,FBref+ESPN
Odeh Al-Fakhouri,,约旦,2,"MF,RM",11,,,FBref+ESPN
Odeh Fakhoury,,约旦,2,SUB,,,,FBref+ESPN
Rajaei Ayed,,约旦,2,SUB,,,,FBref+ESPN
Saed Al-Rosan,,约旦,3,"DF,SUB",19,,,FBref+ESPN
Saleem Obaid,,约旦,2,SUB,,,,FBref+ESPN
Salim Obaid,,约旦,2,DF,17,,,FBref+ESPN
Sharara,,约旦,1,FW,7,,,FBref+ESPN
Yazan Al-Arab,,约旦,4,"CB,CD",5,,,FBref+ESPN
Yazeed Abulaila,,约旦,4,"G,GK",1,,,FBref+ESPN
Alejandro Zendejas,,美国,4,"FW,MF,SUB",26,,,FBref+ESPN
Alex Freeman,,美国,5,"CB,DF,RB,SUB",16,,,FBref+ESPN
Antonee Robinson,,美国,4,"LB,LM,SUB",5,,,FBref+ESPN
Auston Trusty,,美国,4,"DF,LB",6,,,FBref+ESPN
Brenden Aaronson,,美国,4,"AM,RF",11,,,FBref+ESPN
Chris Brady,,美国,3,SUB,,,,FBref+ESPN
Chris Richards,,美国,4,"CB,SUB",3,,,FBref+ESPN
Christian Pulisic,,美国,4,"AM,FW,MF,SUB",10,,,FBref+ESPN
Cristian Roldan,,美国,2,SUB,,,,FBref+ESPN
Folarin Balogun,,美国,4,"FW,SUB",20,,,FBref+ESPN
Gio Reyna,,美国,3,"AM,MF",7,,,FBref+ESPN
Giovanni Reyna,,美国,3,LM,,,,FBref+ESPN
Haji Wright,,美国,3,"FW,MF,SUB",19,,,FBref+ESPN
Joe Scally,,美国,4,"DF,MF,RB",23,,,FBref+ESPN
Malik Tillman,,美国,5,"CM,DM,FW,MF,SUB",17,,,FBref+ESPN
Mark McKenzie,,美国,4,"CB,CD-L",22,,,FBref+ESPN
Matt Freese,,美国,4,"GK,SUB",24,,,FBref+ESPN
Matt Turner,,美国,4,"G,GK",1,,,FBref+ESPN
Max Arfsten,,美国,3,SUB,,,,FBref+ESPN
Miles Robinson,,美国,4,"CB,CD-R",12,,,FBref+ESPN
Ricardo Pepi,,美国,5,"F,FW",9,,,FBref+ESPN
Sebastian Berhalter,,美国,5,"CM,DM,MF",14,,,FBref+ESPN
Sergiño Dest,,美国,5,"AM,DF,MF,RM,SUB",2,,,FBref+ESPN
Tim Ream,,美国,4,"CB,SUB",13,,,FBref+ESPN
Timothy Weah,,美国,5,"AM,DF,FW,LF",21,,,FBref+ESPN
Tyler Adams,,美国,4,"CM,DM,SUB",4,,,FBref+ESPN
Weston McKennie,,美国,5,"AM,CM,DM,RM",8,,,FBref+ESPN
Aaron Hickey,,苏格兰,4,"RB,SUB",2,,,FBref+ESPN
Andy Robertson,,苏格兰,4,LB,3,,,FBref+ESPN
Angus Gunn,,苏格兰,4,"G,GK",1,,,FBref+ESPN
Anthony Ralston,,苏格兰,3,"DF,SUB",24,,,FBref+ESPN
Ben Gannon-Doak,,苏格兰,4,"AM,AM-R,MF,RW",17,,,FBref+ESPN
Ché Adams,,苏格兰,4,"FW,FW,MF,SUB",10,,,FBref+ESPN
Craig Gordon,,苏格兰,3,SUB,,,,FBref+ESPN
Dominic Hyam,,苏格兰,3,SUB,,,,FBref+ESPN
Findlay Curtis,,苏格兰,4,"MF,SUB",25,,,FBref+ESPN
George Hirst,,苏格兰,3,SUB,,,,FBref+ESPN
Grant Hanley,,苏格兰,4,"CB,SUB",5,,,FBref+ESPN
Jack Hendry,,苏格兰,4,"CB,CD-R",13,,,FBref+ESPN
John McGinn,,苏格兰,4,"AM,AM-L,LW,RW",7,,,FBref+ESPN
John Souttar,,苏格兰,3,SUB,,,,FBref+ESPN
Kenny McLean,,苏格兰,4,"DF,MF,DM,LM",23,,,FBref+ESPN
Kieran Tierney,,苏格兰,3,"DF,MF,LW,SUB",6,,,FBref+ESPN
Lawrence Shankland,,苏格兰,4,"F,FW",20,,,FBref+ESPN
Lewis Ferguson,,苏格兰,4,"CM,DM,RM",19,,,FBref+ESPN
Liam Kelly,,苏格兰,3,SUB,,,,FBref+ESPN
Lyndon Dykes,,苏格兰,4,"FW,MF,SUB",9,,,FBref+ESPN
Nathan Patterson,,苏格兰,4,"DF,RB",22,,,FBref+ESPN
Ross Stewart,,苏格兰,3,"FW,SUB",14,,,FBref+ESPN
Ryan Christie,,苏格兰,4,"AM,FW,MF,SUB",11,,,FBref+ESPN
Scott McKenna,,苏格兰,3,"CB,CD-L",26,,,FBref+ESPN
Scott McTominay,,苏格兰,4,"AM,CM",4,,,FBref+ESPN
Tyler Fletcher,,苏格兰,3,SUB,,,,FBref+ESPN
Anthony Gordon,,英格兰,2,"AM,AM-L",18,,,FBref+ESPN
Bukayo Saka,,英格兰,2,"FW,MF,SUB",7,,,FBref+ESPN
Dan Burn,,英格兰,2,SUB,,,,FBref+ESPN
Dean Henderson,,英格兰,2,SUB,,,,FBref+ESPN
Declan Rice,,英格兰,2,"DM,LM",4,,,FBref+ESPN
Djed Spence,,英格兰,2,"DF,MF,LB",25,,,FBref+ESPN
Eberechi Eze,,英格兰,2,"FW,MF,SUB",21,,,FBref+ESPN
Elliot Anderson,,英格兰,2,"DM,RM",8,,,FBref+ESPN
Ezri Konsa,,英格兰,2,"CB,CD-R",2,,,FBref+ESPN
Harry Kane,,英格兰,2,"F,FW",9,,,FBref+ESPN
Ivan Toney,,英格兰,2,SUB,,,,FBref+ESPN
James Trafford,,英格兰,2,SUB,,,,FBref+ESPN
Jarell Quansah,,英格兰,2,SUB,,,,FBref+ESPN
John Stones,,英格兰,2,"CB,SUB",5,,,FBref+ESPN
Jordan Henderson,,英格兰,2,SUB,,,,FBref+ESPN
Jordan Pickford,,英格兰,2,"G,GK",1,,,FBref+ESPN
Jude Bellingham,,英格兰,2,AM,10,,,FBref+ESPN
Kobbie Mainoo,,英格兰,2,SUB,,,,FBref+ESPN
Marc Guéhi,,英格兰,2,"CB,CD-L,DF",6,,,FBref+ESPN
Marcus Rashford,,英格兰,2,"FW,MF,SUB",11,,,FBref+ESPN
Morgan Rogers,,英格兰,2,"FW,MF,SUB",17,,,FBref+ESPN
Nico O'Reilly,,英格兰,2,"DF,MF,LB,SUB",3,,,FBref+ESPN
Noni Madueke,,英格兰,2,"AM,AM-R",20,,,FBref+ESPN
Ollie Watkins,,英格兰,2,SUB,,,,FBref+ESPN
Reece James,,英格兰,2,RB,24,,,FBref+ESPN
Trevoh Chalobah,,英格兰,1,SUB,,,,FBref+ESPN
Bart Verbruggen,,荷兰,3,"G,GK",1,,,FBref+ESPN
Brian Brobbey,,荷兰,3,"F,FW",19,,,FBref+ESPN
Cody Gakpo,,荷兰,3,"FW,LF",11,,,FBref+ESPN
Crysencio Summerville,,荷兰,3,"FW,FW,MF,SUB",24,,,FBref+ESPN
Denzel Dumfries,,荷兰,3,RB,22,,,FBref+ESPN
Donyell Malen,,荷兰,3,"FW,RF",18,,,FBref+ESPN
Frenkie de Jong,,荷兰,3,"CM,DM",21,,,FBref+ESPN
Guus Til,,荷兰,3,"FW,MF,SUB",16,,,FBref+ESPN
Jan Paul van Hecke,,荷兰,3,"CB,CD-R",6,,,FBref+ESPN
Jorrel Hato,,荷兰,3,SUB,,,,FBref+ESPN
Justin Kluivert,,荷兰,3,"FW,MF,SUB",7,,,FBref+ESPN
Lutsharel Geertruida,,荷兰,3,SUB,,,,FBref+ESPN
Mark Flekken,,荷兰,3,SUB,,,,FBref+ESPN
Marten de Roon,,荷兰,3,SUB,,,,FBref+ESPN
Mats Wieffer,,荷兰,3,SUB,,,,FBref+ESPN
Memphis,,荷兰,3,"FW,MF",10,,,FBref+ESPN
Memphis Depay,,荷兰,3,SUB,,,,FBref+ESPN
Micky van de Ven,,荷兰,3,"LB,SUB",15,,,FBref+ESPN
Nathan Aké,,荷兰,3,"DF,MF,LB",5,,,FBref+ESPN
Noa Lang,,荷兰,3,"FW,MF,SUB",17,,,FBref+ESPN
Quinten Timber,,荷兰,2,"MF,SUB",26,,,FBref+ESPN
Robin Roefs,,荷兰,3,SUB,,,,FBref+ESPN
Ryan Gravenberch,,荷兰,3,"CM,RM",8,,,FBref+ESPN
Teun Koopmeiners,,荷兰,3,"DF,MF,SUB",20,,,FBref+ESPN
Tijjani Reijnders,,荷兰,3,"CM,LM",14,,,FBref+ESPN
Virgil van Dijk,,荷兰,3,"CB,CD-L",4,,,FBref+ESPN
Wout Weghorst,,荷兰,3,SUB,,,,FBref+ESPN
Bernardo Silva,,葡萄牙,2,"AM,FW,MF,SUB",10,,,FBref+ESPN
Bruno Fernandes,,葡萄牙,2,AM,8,,,FBref+ESPN
Cristiano Ronaldo,,葡萄牙,2,"F,FW",7,,,FBref+ESPN
Diogo Costa,,葡萄牙,2,"G,GK",1,,,FBref+ESPN
Diogo Dalot,,葡萄牙,2,SUB,,,,FBref+ESPN
Francisco Conceição,,葡萄牙,2,"MF,SUB",26,,,FBref+ESPN
Francisco Trincão,,葡萄牙,2,"FW,MF,SUB",16,,,FBref+ESPN
Gonçalo Guedes,,葡萄牙,2,SUB,,,,FBref+ESPN
Gonçalo Inácio,,葡萄牙,2,SUB,,,,FBref+ESPN
Gonçalo Ramos,,葡萄牙,2,"FW,SUB",9,,,FBref+ESPN
José Sá,,葡萄牙,2,SUB,,,,FBref+ESPN
João Cancelo,,葡萄牙,2,RB,20,,,FBref+ESPN
João Félix,,葡萄牙,2,"AM,AM-L",11,,,FBref+ESPN
João Neves,,葡萄牙,2,"DM,RM",15,,,FBref+ESPN
Matheus Nunes,,葡萄牙,2,SUB,,,,FBref+ESPN
Nuno Mendes,,葡萄牙,2,LB,25,,,FBref+ESPN
Nélson Semedo,,葡萄牙,2,"DF,MF,SUB",2,,,FBref+ESPN
Pedro Neto,,葡萄牙,2,"AM,AM-R",18,,,FBref+ESPN
Rafael Leão,,葡萄牙,2,"FW,MF,SUB",17,,,FBref+ESPN
Renato Veiga,,葡萄牙,2,"CB,CD-L",13,,,FBref+ESPN
Rui Silva,,葡萄牙,2,SUB,,,,FBref+ESPN
Rúben Dias,,葡萄牙,2,"CB,CD-R",3,,,FBref+ESPN
Rúben Neves,,葡萄牙,2,SUB,,,,FBref+ESPN
Samú Costa,,葡萄牙,2,SUB,,,,FBref+ESPN
Tomás Araújo,,葡萄牙,2,"CB,SUB",4,,,FBref+ESPN
Vitinha,,葡萄牙,2,DM,23,,,FBref+ESPN
Vitinha ,,葡萄牙,2,LM,,,,FBref+ESPN
Alejandro Grimaldo,,西班牙,2,SUB,,,,FBref+ESPN
Aymeric Laporte,,西班牙,2,"CB,CD-L",14,,,FBref+ESPN
Borja Iglesias,,西班牙,2,SUB,,,,FBref+ESPN
Dani Olmo,,西班牙,2,"CM,FW,MF,RM",10,,,FBref+ESPN
David Raya,,西班牙,2,SUB,,,,FBref+ESPN
Eric García,,西班牙,2,SUB,,,,FBref+ESPN
Fabián Ruiz,,西班牙,2,SUB,,,,FBref+ESPN
Fabián Ruiz Peña,,西班牙,2,"CM,MF",8,,,FBref+ESPN
Ferran Torres,,西班牙,2,SUB,,,,FBref+ESPN
Ferrán Torres,,西班牙,2,"FW,FW,MF",7,,,FBref+ESPN
Gavi,,西班牙,1,"FW,LF",9,,,FBref+ESPN
Gavi ,,西班牙,1,SUB,,,,FBref+ESPN
Joan García,,西班牙,2,SUB,,,,FBref+ESPN
Lamine Yamal,,西班牙,2,"FW,FW,MF,RF",19,,,FBref+ESPN
Marc Cucurella,,西班牙,2,LB,24,,,FBref+ESPN
Marc Pubill,,西班牙,2,SUB,,,,FBref+ESPN
Marcos Llorente,,西班牙,2,"RB,SUB",5,,,FBref+ESPN
Martín Zubimendi,,西班牙,2,SUB,,,,FBref+ESPN
Mikel Merino,,西班牙,2,"MF,SUB",6,,,FBref+ESPN
Mikel Oyarzabal,,西班牙,2,"F,FW",21,,,FBref+ESPN
Nico Williams,,西班牙,2,"MF,SUB",17,,,FBref+ESPN
Pau Cubarsí,,西班牙,2,"CB,CD-R",22,,,FBref+ESPN
Pedri,,西班牙,2,"CM,LM",20,,,FBref+ESPN
Pedri ,,西班牙,1,LM,,,,FBref+ESPN
Pedro Porro,,西班牙,2,RB,12,,,FBref+ESPN
Rodri,,西班牙,2,"CM,DM",16,,,FBref+ESPN
Rodri ,,西班牙,1,CM,,,,FBref+ESPN
Unai Simón,,西班牙,2,"G,GK",23,,,FBref+ESPN
Víctor Muñoz,,西班牙,2,SUB,,,,FBref+ESPN
Yéremy Pino,,西班牙,2,"FW,MF,SUB",11,,,FBref+ESPN
Álex Baena,,西班牙,2,"FW,LF",15,,,FBref+ESPN
Achraf Abada,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Adil Boulbina,,阿尔及利亚,3,"FW,SUB",20,,,FBref+ESPN
Amine Gouiri,,阿尔及利亚,4,"F,FW",9,,,FBref+ESPN
Anis Hadj Moussa,,阿尔及利亚,4,"AM,FW,MF,SUB",11,,,FBref+ESPN
Aïssa Mandi,,阿尔及利亚,4,"CB,CD-R",2,,,FBref+ESPN
Fares Chaïbi,,阿尔及利亚,2,AM,10,,,FBref+ESPN
Farès Chaïbi,,阿尔及利亚,2,AM-L,,,,FBref+ESPN
Farès Ghedjemis,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Hicham Boudaoui,,阿尔及利亚,4,"DM,RM",14,,,FBref+ESPN
Houssem Aouar,,阿尔及利亚,3,"MF,SUB",8,,,FBref+ESPN
Ibrahim Maza,,阿尔及利亚,4,AM,22,,,FBref+ESPN
Jaouen Hadjam,,阿尔及利亚,3,"DF,SUB",13,,,FBref+ESPN
Luca Zidane,,阿尔及利亚,4,"G,GK",23,,,FBref+ESPN
Melvin Mastil,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Mohamed Amine Tougai,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Mohamed Amoura,,阿尔及利亚,2,"FW,MF,SUB",18,,,FBref+ESPN
Nabil Bentaleb,,阿尔及利亚,4,"DM,MF,SUB",19,,,FBref+ESPN
Nadhir Benbouali,,阿尔及利亚,3,"FW,SUB",12,,,FBref+ESPN
Oussama Benbot,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Rafik Belghali,,阿尔及利亚,4,RB,17,,,FBref+ESPN
Ramiz Zerrouki,,阿尔及利亚,4,"DM,LM,MF",6,,,FBref+ESPN
Ramy Bensebaini,,阿尔及利亚,4,"CB,CD-L",21,,,FBref+ESPN
Rayan Aït-Nouri,,阿尔及利亚,4,LB,15,,,FBref+ESPN
Riyad Mahrez,,阿尔及利亚,4,"AM,AM-R,FW,MF",7,,,FBref+ESPN
Samir Chergui,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Yassine Titraoui,,阿尔及利亚,2,SUB,,,,FBref+ESPN
Zineddine Belaïd,,阿尔及利亚,3,"DF,SUB",5,,,FBref+ESPN
Alexis Mac Allister,,阿根廷,3,"CM,CM-R",20,,,FBref+ESPN
Cristian Romero,,阿根廷,3,"CB,CD-R",13,,,FBref+ESPN
Emiliano Martínez,,阿根廷,3,"G,GK",23,,,FBref+ESPN
Enzo Fernández,,阿根廷,3,"CM,CM-L",24,,,FBref+ESPN
Exequiel Palacios,,阿根廷,2,SUB,,,,FBref+ESPN
Facundo Medina,,阿根廷,3,LB,25,,,FBref+ESPN
Gerónimo Rulli,,阿根廷,2,SUB,,,,FBref+ESPN
Giovani Lo Celso,,阿根廷,2,SUB,,,,FBref+ESPN
Giuliano Simeone,,阿根廷,2,SUB,,,,FBref+ESPN
Gonzalo Montiel,,阿根廷,3,"RB,SUB",4,,,FBref+ESPN
José Manuel López,,阿根廷,2,SUB,,,,FBref+ESPN
Juan Musso,,阿根廷,2,SUB,,,,FBref+ESPN
Julián Álvarez,,阿根廷,3,"FW,MF,SUB",9,,,FBref+ESPN
Lautaro Martínez,,阿根廷,3,"CF-L,FW",22,,,FBref+ESPN
Leandro Paredes,,阿根廷,2,"MF,SUB",5,,,FBref+ESPN
Lionel Messi,,阿根廷,3,"CF-R,FW",10,,,FBref+ESPN
Lisandro Martínez,,阿根廷,3,"CB,CD-L",6,,,FBref+ESPN
Marcos Senesi,,阿根廷,2,SUB,,,,FBref+ESPN
Nahuel Molina,,阿根廷,3,"DF,MF,RB",26,,,FBref+ESPN
Nico González,,阿根廷,2,SUB,,,,FBref+ESPN
Nico Paz,,阿根廷,2,SUB,,,,FBref+ESPN
Nicolás González,,阿根廷,2,"FW,MF",15,,,FBref+ESPN
Nicolás Otamendi,,阿根廷,3,"DF,SUB",19,,,FBref+ESPN
Nicolás Paz,,阿根廷,1,MF,18,,,FBref+ESPN
Nicolás Tagliafico,,阿根廷,2,"DF,SUB",3,,,FBref+ESPN
Rodrigo De Paul,,阿根廷,3,"RM,RW",7,,,FBref+ESPN
Thiago Almada,,阿根廷,3,"LM,LW",16,,,FBref+ESPN
Valentín Barco,,阿根廷,2,SUB,,,,FBref+ESPN
Bae Jun-Ho,,韩国,3,SUB,,,,FBref+ESPN
Cho Gue-Sung,,韩国,3,SUB,,,,FBref+ESPN
Cho Gue-sung,,韩国,2,FW,9,,,FBref+ESPN
Cho Wi-Je,,韩国,3,SUB,,,,FBref+ESPN
Eom Ji-Sung,,韩国,3,SUB,,,,FBref+ESPN
Eom Ji-sung,,韩国,2,MF,25,,,FBref+ESPN
Hwang Hee-Chan,,韩国,3,CF-L,,,,FBref+ESPN
Hwang Hee-chan,,韩国,3,"FW,FW,MF",11,,,FBref+ESPN
Hwang In-Beom,,韩国,3,CM-L,,,,FBref+ESPN
Hwang In-beom,,韩国,3,CM,6,,,FBref+ESPN
Jens Castrop,,韩国,4,"MF,SUB",23,,,FBref+ESPN
Jo Hyeon-Woo,,韩国,3,SUB,,,,FBref+ESPN
Kim Jin-Gyu,,韩国,3,SUB,,,,FBref+ESPN
Kim Jin-gyu,,韩国,2,MF,24,,,FBref+ESPN
Kim Min-Jae,,韩国,3,CD,,,,FBref+ESPN
Kim Min-jae,,韩国,3,CB,4,,,FBref+ESPN
Kim Moon-Hwan,,韩国,3,SUB,,,,FBref+ESPN
Kim Moon-hwan,,韩国,1,RM,15,,,FBref+ESPN
Kim Seung-Gyu,,韩国,3,G,,,,FBref+ESPN
Kim Seung-gyu,,韩国,3,GK,1,,,FBref+ESPN
Kim Tae-Hyeon,,韩国,3,SUB,,,,FBref+ESPN
Lee Dong-Gyeong,,韩国,3,SUB,,,,FBref+ESPN
Lee Gi-Hyuk,,韩国,3,CD-L,,,,FBref+ESPN
Lee Gi-hyuk,,韩国,3,CB,3,,,FBref+ESPN
Lee Han-Beom,,韩国,3,CD-R,,,,FBref+ESPN
Lee Han-beom,,韩国,3,CB,2,,,FBref+ESPN
Lee Jae-Sung,,韩国,3,SUB,,,,FBref+ESPN
Lee Jae-sung,,韩国,2,FW,10,,,FBref+ESPN
Lee Kang-In,,韩国,3,CF-R,,,,FBref+ESPN
Lee Kang-in,,韩国,3,FW,19,,,FBref+ESPN
Lee Tae-Seok,,韩国,3,LM,,,,FBref+ESPN
Lee Tae-seok,,韩国,2,LM,13,,,FBref+ESPN
Oh Hyeon-Gyu,,韩国,3,F,,,,FBref+ESPN
Oh Hyeon-gyu,,韩国,3,FW,18,,,FBref+ESPN
Paik Seung-Ho,,韩国,3,CM-R,,,,FBref+ESPN
Paik Seung-ho,,韩国,3,CM,8,,,FBref+ESPN
Park Jin-Seop,,韩国,3,SUB,,,,FBref+ESPN
Park Jinseob,,韩国,2,"DF,MF",16,,,FBref+ESPN
Seol Young-Woo,,韩国,3,RM,,,,FBref+ESPN
Seol Young-woo,,韩国,3,"LM,RM",22,,,FBref+ESPN
Son Heung-Min,,韩国,3,SUB,,,,FBref+ESPN
Son Heung-min,,韩国,3,"FW,FW,MF",7,,,FBref+ESPN
Song Bum-Keun,,韩国,3,SUB,,,,FBref+ESPN
Yang Hyun-Jun,,韩国,3,SUB,,,,FBref+ESPN
Yang Hyun-jun,,韩国,1,"FW,MF",20,,,FBref+ESPN
