国家,主教练,国籍/年龄,任期,代表执教生涯,重大荣誉
墨西哥,哈维尔·阿吉雷 Javier Aguirre,墨西哥/67,2024-,墨西哥队(2001-02/2009-10)、日本队(2014-15/2018)、埃及队(2018-19)、西甲莱万特/马竞助教,金杯赛 2009 2002韩日世界杯16强
南非,雨果·布罗斯 Hugo Broos,比利时/74,2021-,"布鲁日(比甲冠军2次 1991-92/92-93)/安德莱赫特(比甲冠军)/比利时队(2010-12)/喀麦隆队(2016-17, 非洲杯冠军2017)/南非队(2021-)",非洲杯冠军 2017 比甲冠军3次 带领南非时隔16年再进世界杯(2010后首次)
韩国,洪明甫 Hong Myung-bo,韩国/56,2023-2026(带队参加2024亚洲杯),韩国队(2013-14)/中超广州富力/杭州绿城助教/韩国U23主帅,2002韩日世界杯4强队长(球员时代) 亚洲杯冠军(球员时代)/奥运铜牌
捷克,伊万·哈谢克 Ivan Hašek,捷克/62,2023-,捷克队(2009-11/2018-21)、沙特队(2022世界杯)、法甲/西亚多队,捷克冠军联赛 1995/96
加拿大,杰西·马什 Jesse Marsch,美国/52,2024-,"利兹联(2022-23)、RB萨尔茨堡(2019-22, 奥甲+杯赛双冠)、纽约红牛/贝西克塔斯",奥甲冠军 2021/22 奥地利杯 2022 MLS东部冠军 2015/18
波黑,塞尔杰·巴巴雷兹 Sergej Barbarez (波黑),波黑/54岁,2024 - 至今,"前波黑国脚, 德甲/汉堡队长","率波黑附加赛淘汰意大利, 时隔12年再入世界杯"
卡塔尔,胡伦·洛佩特吉 Julen Lopetegui,西班牙/59,2025-2026,"西班牙队(2016-18, 世预赛不败+2018世界杯临阵被解雇)/皇马(2018短期)/狼队(2022-23)/西汉姆联(2024)/塞维利亚(欧联冠军2019-20)",欧联冠军 2020 西班牙U19/U21欧青赛冠军 2012 2013
瑞士,穆拉特·雅金 Murat Yakin,瑞士/50,2021-,"巴塞尔(2014-15/2018-21, 瑞超冠军 2017)、苏黎世草蜢",瑞超冠军 2017 欧青赛8强
巴西,卡洛·安切洛蒂 Carlo Ancelotti,意大利/66,2024-,"皇马(2021-25, 西甲+欧冠双冠)/切尔西(09-11, 英超+足总杯)/拜仁(16-17, 德甲)/巴黎/AC米兰(01-09, 欧冠+意甲2次)/尤文/那不勒斯",欧冠3次 2003/07/14 西甲2次 2022/24 英超+足总杯 2010 德甲+德国超级杯 2017 意甲+意大利杯 2004 法甲 2013 世俱杯2次 2014/22 FIFA年度最佳教练 2013/14
摩洛哥,穆罕默德·瓦赫比 Mohamed Ouahbi,摩洛哥/49 (比利时出生),2026.3-,"摩洛哥U-20(2025, 世青赛冠军2-0阿根廷决赛)/助理Joao Sacramento(葡萄牙)",U-20世青赛冠军 2025 (接替雷格拉吉, 无成年国家队履历)
海地,塞巴斯蒂安·米涅 Sébastien Migné (法国),法国/52岁,2024 - 至今,前巴黎FC/中非/科特迪瓦/肯尼亚,率海地扩军首次入世界杯
苏格兰,史蒂夫·克拉克 Steve Clarke,苏格兰/62,2019-,西布罗姆/邓迪联/基尔马诺克(2017-19)/切尔西/西汉姆球员时代,欧国联B级冠军 2025
美国,毛里西奥·波切蒂诺 Mauricio Pochettino,阿根廷/53,2024-,"热刺(2014-19/2021-22, 欧冠亚军 2019)/巴黎(2021-22, 法甲冠军)/切尔西(2023-24)",法甲冠军 2022 欧冠亚军 2019
巴拉圭,古斯塔沃·阿尔法罗 Gustavo Alfaro,阿根廷/63,2025-2026,"巴塞罗那SC(厄瓜多尔)/埃梅莱克(厄瓜多尔冠军)/厄瓜多尔队(2019-22, 卡塔尔世界杯正赛)/玻利维亚/科斯塔兰/阿联酋联赛",厄瓜多尔联赛冠军多次 厄瓜多尔年度最佳教练 2019
澳大利亚,托尼·波波维奇 Tony Popovic,澳大利亚/51,2024-,"西悉尼流浪者(2012-17, A联+亚冠冠军)/墨尔本胜利/横滨水手",亚冠冠军 2014 A联冠军 2012/13
土耳其,文森特·蒙特拉 Vincenzo Montella,意大利/51,2023-,土超阿达纳德米尔/塞维利亚/比萨,土超冠军 2024
德国,尤利安·纳格尔斯曼 Julian Nagelsmann,德国/38,2023-,"拜仁(2021-23, 德甲冠军 2022)/RB莱比锡(2019-21, 欧冠4强)/霍芬海姆(2016-19)",德甲冠军 2022 德国超级杯 2022
库拉索,迪克·艾德沃卡特 Dick Advocaat,荷兰/78,2024-2025复任(世界杯期间78岁创历史最老纪录),"荷兰队(1992-94)/埃因霍温(1994-98, 3次荷甲)/流浪者(1998-2001, 苏超4冠)/费内巴切/俄罗斯/比利时U21/塞尔维亚(2018世界杯16强)/阿联酋/伊拉克(2015亚洲杯冠军)/荷兰队助教",亚洲杯冠军 2015 世界杯16强 2018(塞副) 苏超冠军4次 荷甲冠军3次
科特迪瓦,埃默里克·普佩特 Emerse Faé,科特迪瓦/41,2024-,科特迪瓦助教,非洲杯冠军 2024
厄瓜多尔,塞巴斯蒂安·贝卡切 Sebas Beccacece,阿根廷/43,2024-,独立/防守者/阿根廷U20助教,南美杯 2017
荷兰,罗纳德·科曼 Ronald Koeman,荷兰/61,2023-,"巴萨(2020-24, 西甲冠军 2023)/荷兰队(2018-20)/南安普顿/埃弗顿",西甲冠军 2023 欧国联亚军 2019
日本,森保一 Hajime Moriyasu,日本/56,2018-2026,"日本U23国奥(2016-17, 里约奥运)/广岛三箭(2012-17, J联3连冠)/日本队(2018-)",J联冠军3连冠(2015 2016 2017) 带领日本连续2届杀入世界杯16强 2022
瑞典,格雷厄姆·波特 Graham Potter,英格兰/50,2025-2028,"厄斯特松德(2010-18, 瑞超升班奇迹)/布莱顿(2019-22)/切尔西(2023短期)/西汉姆联(2024-25)/厄斯特松德",瑞典足坛最佳外籍教练 2017 瑞超冠军 2017 2018同时升级
突尼斯,萨布里·拉穆奇 Sabri Lamouchi (法国-突尼斯),法国-突尼斯/54岁,2024.1 - 至今,雷恩/诺丁汉森林/摩洛哥,"世预赛10场9胜1平不败, 史上首支零失球晋级球队"
比利时,鲁迪·加西亚 Rudi Garcia,法国/62,2025-2026,"里尔(法甲冠军2011+法国杯双冠)/马赛(2016-19, 欧联决赛)/罗马/里昂(2019-21)/纽卡斯尔(2022-23)/沙特联赛(2023-24)",法甲冠军+法国杯双冠王 2011 德布劳内卢卡库黄金一代谢幕战主帅
埃及,霍萨姆·哈桑 Hossam Hassan (埃及),埃及/59岁,2024 - 至今,埃及队史头号射手(68球),"3次非洲杯冠军(球员时代), 率埃及晋级2026世界杯"
伊朗,阿米尔·盖拉诺伊 Amir Ghalenoei,伊朗/61,2023-,伊朗队(2011-14)/塞帕罕/特拉塔奇,西亚冠军联赛 2024
新西兰,达伦·巴泽利 Darren Bazeley,新西兰/50,2022-,"惠灵顿凤凰助教(2014-19)/惠灵顿凤凰(2020-22, A联冠军)/U17/U20新西兰青训总监",A联冠军 2022 创历史首位率队参加U17/U20/奥运/成年世界杯四大赛的主帅
西班牙,路易斯·德拉富恩特 Luis de la Fuente,西班牙/64,2022-,西班牙U21(2018-22欧青赛冠军2019/2021)/西班牙队(2022-)/巴斯克地区队,欧国联冠军 2023 欧洲杯冠军 2024 奥运会金 2024 欧青赛U21冠军 2019/2021
佛得角,佩德罗·索萨 Pedro Leitão,佛得角/55岁,2023 - 至今,佛得角传奇国脚,率队史首次入围世界杯
沙特,埃尔韦·勒纳尔 Hervé Renard,法国/57,2024-,"法国女足(2013-16, 世界杯4强2011)/赞比亚队(2012-13, 非洲杯冠军2012)/科特迪瓦队(2015-16)/摩洛哥队(2016-19)/沙特队(2024-)",非洲杯冠军 2012 法国女足最佳教练 2012 2013
乌拉圭,马塞洛·比埃尔萨 Marcelo Bielsa,阿根廷/69,2023-,阿根廷/智利/西班牙/英格兰利兹联/美国,美洲杯冠军 2004 奥运冠军 2004 解放者杯 2015
法国,迪迪埃·德尚 Didier Deschamps,法国/56,2012-2026离任,"摩纳哥(2001-05, 欧冠亚军)/尤文(06-07, 意甲)/马赛(09-10, 法甲)",世界杯冠军 2018 世界杯亚军 2022 欧国联冠军 2020/21 欧冠冠军 93/96(球员时代) 世界杯冠军 1998(球员)
塞内加尔,帕佩·蒂亚乌 Pape Thiaw,塞内加尔/43,2025-,梅斯/年轻人/西雅图海湾人助教,非洲杯冠军 2025
伊拉克,格雷厄姆·阿诺德 Graham Arnold,澳大利亚/61,2025-,"澳大利亚队(2018-23, 2022世界杯16强)/中央海岸水手/横滨水手",亚洲杯冠军 2015 亚冠冠军
挪威,索尔巴肯 Ståle Solbakken,挪威/57,2020-,克卢日/克拉斯诺达尔/科隆/罗马球员时代,罗马尼亚冠军联赛 2017/18
阿根廷,利昂内尔·斯卡洛尼 Lionel Scaloni,阿根廷/47,2018-,阿根廷U20(2017-18)/拉普拉塔大学生助教/球员时代拉科鲁尼亚/桑普多利亚/拉齐奥/西汉姆,世界杯冠军 2022 美洲杯冠军 2021/2024 欧美杯冠军 2022
阿尔及利亚,弗拉基米尔·佩奇科夫 Vladimir Petković,瑞士/61,2024-,"瑞士队(2014-21, 欧国联4强)/拉齐奥/萨格勒布迪纳摩",欧国联亚军 2019
奥地利,朗尼克 Ralf Rangnick,德国/66,2022-,莱比锡(2015-19)/霍芬海姆/沙尔克04/曼联(临时 2022-23)/AC米兰(2023-24),奥地利教练协会年度教练 多次
约旦,杰马勒·塞拉米 Jamal Abu Selameh (约旦),约旦/52岁,2024.4 - 至今,"约旦国脚历史出场王(143场), 转型教练",率约旦首次打入世界杯
葡萄牙,罗伯托·马丁内斯 Roberto Martínez,西班牙/52,2023-,"比利时队(2016-22, 世界杯季军 2018)/埃弗顿(2013-16)/维冈竞技(英足总杯 2013)/斯旺西",英足总杯冠军 2013 世界杯季军 2018
民主刚果,塞巴斯蒂安·德萨布雷 Sébastien Desabre,法国/49,2022-,卡塔尔联赛/卡塔尔/乌干达队(2017-19)/阿联酋俱乐部/摩洛哥俱乐部,带领民主刚果时隔52年重返世界杯(1974后再参赛) 非洲杯参赛
乌兹别克斯坦,蒂穆尔·卡帕泽 Timur Kapadze,乌兹别克斯坦/43,2024-,乌兹别克斯坦U23/U17/卡塔尔联赛助教/本尤肯科斯/纳曼干,亚青赛冠军 2018 首次带队进世界杯
哥伦比亚,内斯托尔·洛伦索 Néstor Lorenzo,阿根廷/60,2022-,哥伦比亚U20/巴拉圭/秘鲁助教,美洲杯亚军 2024
英格兰,托马斯·图赫尔 Thomas Tuchel,德国/52,2025-2028,"切尔西(2021-22, 欧冠冠军)/拜仁(2023-24)/巴黎(2018-20, 法甲)/多特蒙德(2015-17, 德国杯)",欧冠冠军 2021 世俱杯 2021 法甲冠军 2019/20 德国杯 2017
克罗地亚,兹拉特科·达利奇 Zlatko Dalić,克罗地亚/58,2017-,"沙特阿赫利/阿尔艾因/阿尔希拉尔/萨格勒布迪纳摩(2014-17, 克甲冠军)",世界杯亚军 2018 世界杯季军 2022 欧国联亚军 2023
加纳,卡洛斯·奎罗斯 Carlos Queiroz (葡萄牙),葡萄牙/72岁,2024.9 - 至今,葡萄牙/伊朗/埃及/哥伦比亚/南非，5次带队世界杯(2010/2014/2018/2022/2026),南非世预赛全胜晋级、5届世界杯带队
巴拿马,托马斯·克里斯蒂安森 Thomas Christiansen,丹麦/52,2020-,利兹联(球员时代)/西班牙/拉脱维亚队(2017-19)/哈萨克斯坦联赛,哈萨克杯冠军 2024
