组别,轮次,北京时间,主队,客队,体育场,城市,东道国,场馆容量,海拔(米),6月历史均高温(°C),6月历史均低温(°C),6月历史均湿度(%),6月历史均风速(km/h),顶棚,数据来源
A,第1轮,2026-06-12 03:00,墨西哥,南非,阿兹特克体育场,墨西哥城,墨西哥,72766,2200,25,13,60,12,无顶露天,FIFA官方赛程 2026世界杯
A,第1轮,2026-06-12 10:00,韩国,捷克,瓜达拉哈拉体育场,瓜达拉哈拉,墨西哥,49813,1566,29,17,65,9,有顶,FIFA官方赛程 2026世界杯
A,第2轮,2026-06-19 00:00,捷克,南非,梅赛德斯-奔驰体育场,亚特兰大,美国,67382,320,30,21,70,10,可伸缩花瓣顶,FIFA官方赛程 2026世界杯
A,第2轮,2026-06-19 09:00,墨西哥,韩国,瓜达拉哈拉体育场,瓜达拉哈拉,墨西哥,49813,1566,29,17,65,9,有顶,FIFA官方赛程 2026世界杯
A,第3轮,2026-06-25 09:00,捷克,墨西哥,阿兹特克体育场,墨西哥城,墨西哥,72766,2200,25,13,60,12,无顶露天,FIFA官方赛程 2026世界杯
A,第3轮,2026-06-25 09:00,南非,韩国,BBVA体育场,蒙特雷,墨西哥,53500,540,34,21,60,12,无顶露天,FIFA官方赛程 2026世界杯
B,第1轮,2026-06-13 03:00,加拿大,波黑,BMO球场,多伦多,加拿大,44315,76,25,15,65,14,部分可开合,FIFA官方赛程 2026世界杯
B,第1轮,2026-06-14 03:00,卡塔尔,瑞士,李维斯体育场,旧金山湾区,美国,69391,5,22,14,75,13,无顶露天,FIFA官方赛程 2026世界杯
B,第2轮,2026-06-19 03:00,瑞士,波黑,SoFi体育场,洛杉矶,美国,69650,30,24,17,70,9,半透明薄膜顶,FIFA官方赛程 2026世界杯
B,第2轮,2026-06-19 06:00,加拿大,卡塔尔,BC广场体育场,温哥华,加拿大,48821,70,19,11,75,8,可伸缩钢索顶,FIFA官方赛程 2026世界杯
B,第3轮,2026-06-25 03:00,瑞士,加拿大,BC广场体育场,温哥华,加拿大,48821,70,19,11,75,8,可伸缩钢索顶,FIFA官方赛程 2026世界杯
B,第3轮,2026-06-25 03:00,波黑,卡塔尔,流明球场,西雅图,美国,65123,5,22,13,70,8,部分顶,FIFA官方赛程 2026世界杯
C,第1轮,2026-06-14 06:00,巴西,摩洛哥,大都会人寿体育场,纽约/新泽西,美国,82500,5,28,19,70,12,无顶露天,FIFA官方赛程 2026世界杯
C,第1轮,2026-06-14 09:00,海地,苏格兰,吉列体育场,波士顿,美国,63815,40,25,16,70,12,无顶露天,FIFA官方赛程 2026世界杯
C,第2轮,2026-06-20 06:00,苏格兰,摩洛哥,吉列体育场,波士顿,美国,63815,40,25,16,70,12,无顶露天,FIFA官方赛程 2026世界杯
C,第2轮,2026-06-20 09:00,巴西,海地,林肯金融球场,费城,美国,65827,12,28,19,70,11,无顶露天,FIFA官方赛程 2026世界杯
C,第3轮,2026-06-25 06:00,摩洛哥,海地,梅赛德斯-奔驰体育场,亚特兰大,美国,67382,320,30,21,70,10,可伸缩花瓣顶,FIFA官方赛程 2026世界杯
C,第3轮,2026-06-25 06:00,苏格兰,巴西,硬石体育场,迈阿密,美国,64091,2,30,24,80,14,无顶露天,FIFA官方赛程 2026世界杯
D,第1轮,2026-06-13 09:00,美国,巴拉圭,SoFi体育场,洛杉矶,美国,69650,30,24,17,70,9,半透明薄膜顶,FIFA官方赛程 2026世界杯
D,第1轮,2026-06-14 12:00,澳大利亚,土耳其,BC广场体育场,温哥华,加拿大,48821,70,19,11,75,8,可伸缩钢索顶,FIFA官方赛程 2026世界杯
D,第2轮,2026-06-20 03:00,美国,澳大利亚,流明球场,西雅图,美国,65123,5,22,13,70,8,部分顶,FIFA官方赛程 2026世界杯
D,第2轮,2026-06-20 12:00,土耳其,巴拉圭,李维斯体育场,旧金山湾区,美国,69391,5,22,14,75,13,无顶露天,FIFA官方赛程 2026世界杯
D,第3轮,2026-06-26 10:00,土耳其,美国,李维斯体育场,旧金山湾区,美国,69391,5,22,14,75,13,无顶露天,FIFA官方赛程 2026世界杯
D,第3轮,2026-06-26 10:00,巴拉圭,澳大利亚,NRG体育场,休斯顿,美国,68311,13,32,23,75,11,可伸缩顶,FIFA官方赛程 2026世界杯
E,第1轮,2026-06-15 01:00,德国,库拉索,NRG体育场,休斯顿,美国,68311,13,32,23,75,11,可伸缩顶,FIFA官方赛程 2026世界杯
E,第1轮,2026-06-15 07:00,科特迪瓦,厄瓜多尔,林肯金融球场,费城,美国,65827,12,28,19,70,11,无顶露天,FIFA官方赛程 2026世界杯
E,第2轮,2026-06-21 04:00,德国,科特迪瓦,BMO球场,多伦多,加拿大,44315,76,25,15,65,14,部分可开合,FIFA官方赛程 2026世界杯
E,第2轮,2026-06-21 08:00,厄瓜多尔,库拉索,箭头体育场,堪萨斯城,美国,67513,265,30,20,70,15,无顶露天,FIFA官方赛程 2026世界杯
E,第3轮,2026-06-26 04:00,厄瓜多尔,德国,箭头体育场,堪萨斯城,美国,67513,265,30,20,70,15,无顶露天,FIFA官方赛程 2026世界杯
E,第3轮,2026-06-26 04:00,库拉索,科特迪瓦,瓜达拉哈拉体育场,瓜达拉哈拉,墨西哥,49813,1566,29,17,65,9,有顶,FIFA官方赛程 2026世界杯
F,第1轮,2026-06-15 04:00,荷兰,日本,AT&T体育场,达拉斯,美国,70122,195,33,23,60,17,可伸缩顶,FIFA官方赛程 2026世界杯
F,第1轮,2026-06-15 10:00,瑞典,突尼斯,BBVA体育场,蒙特雷,墨西哥,53500,540,34,21,60,12,无顶露天,FIFA官方赛程 2026世界杯
F,第2轮,2026-06-21 01:00,荷兰,瑞典,NRG体育场,休斯顿,美国,68311,13,32,23,75,11,可伸缩顶,FIFA官方赛程 2026世界杯
F,第2轮,2026-06-21 12:00,突尼斯,日本,BBVA体育场,蒙特雷,墨西哥,53500,540,34,21,60,12,无顶露天,FIFA官方赛程 2026世界杯
F,第3轮,2026-06-26 07:00,日本,瑞典,AT&T体育场,达拉斯,美国,70122,195,33,23,60,17,可伸缩顶,FIFA官方赛程 2026世界杯
F,第3轮,2026-06-26 07:00,突尼斯,荷兰,梅赛德斯-奔驰体育场,亚特兰大,美国,67382,320,30,21,70,10,可伸缩花瓣顶,FIFA官方赛程 2026世界杯
G,第1轮,2026-06-16 03:00,比利时,埃及,流明球场,西雅图,美国,65123,5,22,13,70,8,部分顶,FIFA官方赛程 2026世界杯
G,第1轮,2026-06-16 09:00,伊朗,新西兰,SoFi体育场,洛杉矶,美国,69650,30,24,17,70,9,半透明薄膜顶,FIFA官方赛程 2026世界杯
G,第2轮,2026-06-22 03:00,比利时,伊朗,SoFi体育场,洛杉矶,美国,69650,30,24,17,70,9,半透明薄膜顶,FIFA官方赛程 2026世界杯
G,第2轮,2026-06-22 09:00,新西兰,埃及,BC广场体育场,温哥华,加拿大,48821,70,19,11,75,8,可伸缩钢索顶,FIFA官方赛程 2026世界杯
G,第3轮,2026-06-27 11:00,埃及,伊朗,硬石体育场,迈阿密,美国,64091,2,30,24,80,14,无顶露天,FIFA官方赛程 2026世界杯
G,第3轮,2026-06-27 11:00,新西兰,比利时,林肯金融球场,费城,美国,65827,12,28,19,70,11,无顶露天,FIFA官方赛程 2026世界杯
H,第1轮,2026-06-16 00:00,西班牙,佛得角,梅赛德斯-奔驰体育场,亚特兰大,美国,67382,320,30,21,70,10,可伸缩花瓣顶,FIFA官方赛程 2026世界杯
H,第1轮,2026-06-16 06:00,沙特,乌拉圭,硬石体育场,迈阿密,美国,64091,2,30,24,80,14,无顶露天,FIFA官方赛程 2026世界杯
H,第2轮,2026-06-22 00:00,西班牙,沙特,梅赛德斯-奔驰体育场,亚特兰大,美国,67382,320,30,21,70,10,可伸缩花瓣顶,FIFA官方赛程 2026世界杯
H,第2轮,2026-06-22 06:00,乌拉圭,佛得角,硬石体育场,迈阿密,美国,64091,2,30,24,80,14,无顶露天,FIFA官方赛程 2026世界杯
H,第3轮,2026-06-27 08:00,佛得角,沙特,梅赛德斯-奔驰体育场,亚特兰大,美国,67382,320,30,21,70,10,可伸缩花瓣顶,FIFA官方赛程 2026世界杯
H,第3轮,2026-06-27 08:00,乌拉圭,西班牙,AT&T体育场,达拉斯,美国,70122,195,33,23,60,17,可伸缩顶,FIFA官方赛程 2026世界杯
I,第1轮,2026-06-17 03:00,法国,塞内加尔,大都会人寿体育场,纽约/新泽西,美国,82500,5,28,19,70,12,无顶露天,FIFA官方赛程 2026世界杯
I,第1轮,2026-06-17 06:00,伊拉克,挪威,吉列体育场,波士顿,美国,63815,40,25,16,70,12,无顶露天,FIFA官方赛程 2026世界杯
I,第2轮,2026-06-23 05:00,法国,伊拉克,林肯金融球场,费城,美国,65827,12,28,19,70,11,无顶露天,FIFA官方赛程 2026世界杯
I,第2轮,2026-06-23 08:00,挪威,塞内加尔,大都会人寿体育场,纽约/新泽西,美国,82500,5,28,19,70,12,无顶露天,FIFA官方赛程 2026世界杯
I,第3轮,2026-06-27 03:00,挪威,法国,大都会人寿体育场,纽约/新泽西,美国,82500,5,28,19,70,12,无顶露天,FIFA官方赛程 2026世界杯
I,第3轮,2026-06-27 03:00,塞内加尔,伊拉克,林肯金融球场,费城,美国,65827,12,28,19,70,11,无顶露天,FIFA官方赛程 2026世界杯
J,第1轮,2026-06-17 09:00,阿根廷,阿尔及利亚,箭头体育场,堪萨斯城,美国,67513,265,30,20,70,15,无顶露天,FIFA官方赛程 2026世界杯
J,第1轮,2026-06-16 12:00,奥地利,约旦,李维斯体育场,旧金山湾区,美国,69391,5,22,14,75,13,无顶露天,FIFA官方赛程 2026世界杯
J,第2轮,2026-06-23 01:00,阿根廷,奥地利,AT&T体育场,达拉斯,美国,70122,195,33,23,60,17,可伸缩顶,FIFA官方赛程 2026世界杯
J,第2轮,2026-06-23 11:00,约旦,阿尔及利亚,李维斯体育场,旧金山湾区,美国,69391,5,22,14,75,13,无顶露天,FIFA官方赛程 2026世界杯
J,第3轮,2026-06-28 10:00,阿尔及利亚,奥地利,箭头体育场,堪萨斯城,美国,67513,265,30,20,70,15,无顶露天,FIFA官方赛程 2026世界杯
J,第3轮,2026-06-28 10:00,约旦,阿根廷,瓜达拉哈拉体育场,瓜达拉哈拉,墨西哥,49813,1566,29,17,65,9,有顶,FIFA官方赛程 2026世界杯
K,第1轮,2026-06-18 01:00,葡萄牙,民主刚果,NRG体育场,休斯顿,美国,68311,13,32,23,75,11,可伸缩顶,FIFA官方赛程 2026世界杯
K,第1轮,2026-06-18 10:00,乌兹别克斯坦,哥伦比亚,阿兹特克体育场,墨西哥城,墨西哥,72766,2200,25,13,60,12,无顶露天,FIFA官方赛程 2026世界杯
K,第2轮,2026-06-24 01:00,葡萄牙,乌兹别克斯坦,NRG体育场,休斯顿,美国,68311,13,32,23,75,11,可伸缩顶,FIFA官方赛程 2026世界杯
K,第2轮,2026-06-24 10:00,哥伦比亚,民主刚果,瓜达拉哈拉体育场,瓜达拉哈拉,墨西哥,49813,1566,29,17,65,9,有顶,FIFA官方赛程 2026世界杯
K,第3轮,2026-06-28 07:30,哥伦比亚,葡萄牙,AT&T体育场,达拉斯,美国,70122,195,33,23,60,17,可伸缩顶,FIFA官方赛程 2026世界杯
K,第3轮,2026-06-28 07:30,民主刚果,乌兹别克斯坦,箭头体育场,堪萨斯城,美国,67513,265,30,20,70,15,无顶露天,FIFA官方赛程 2026世界杯
L,第1轮,2026-06-18 04:00,英格兰,克罗地亚,AT&T体育场,达拉斯,美国,70122,195,33,23,60,17,可伸缩顶,FIFA官方赛程 2026世界杯
L,第1轮,2026-06-18 07:00,加纳,巴拿马,BMO球场,多伦多,加拿大,44315,76,25,15,65,14,部分可开合,FIFA官方赛程 2026世界杯
L,第2轮,2026-06-24 04:00,英格兰,加纳,吉列体育场,波士顿,美国,63815,40,25,16,70,12,无顶露天,FIFA官方赛程 2026世界杯
L,第2轮,2026-06-24 07:00,巴拿马,克罗地亚,BMO球场,多伦多,加拿大,44315,76,25,15,65,14,部分可开合,FIFA官方赛程 2026世界杯
L,第3轮,2026-06-28 04:00,克罗地亚,加纳,NRG体育场,休斯顿,美国,68311,13,32,23,75,11,可伸缩顶,FIFA官方赛程 2026世界杯
L,第3轮,2026-06-28 04:00,巴拿马,英格兰,林肯金融球场,费城,美国,65827,12,28,19,70,11,无顶露天,FIFA官方赛程 2026世界杯
